Group Name,Machine,Transaction Date,Transaction No,Slot No,Product Code,Product Name,Service,Status,Delivery,Category,Price
Master,Machine A,28-11-25 17:04,3995547,31,UMMIR4,Chicken Tandoori with Coriander Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,28-11-25 14:10,3992640,31,UMMIR4,Chicken Tandoori with Coriander Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,28-11-25 13:32,3991769,37,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,28-11-25 13:17,3990658,17,UMMIR13,Spicy Chicken with Pearl CousCous,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,28-11-25 12:36,3988280,51,UMMIS5,Mixed Beans & CousCous Salad,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine A,28-11-25 11:00,3986701,11,UMMIG1,Grilled Chicken Burrito Bowl,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,28-11-25 10:53,3986607,64,UMMIR36,Rajma Curry with White Rice,Cash,Successful,Delivery,Vegetarian,Premium
Master,Machine A,28-11-25 09:20,3985570,37,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,27-11-25 16:32,3983200,8,UMMIJ17,Coconut Punch Cold Pressed Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,27-11-25 15:03,3980772,11,UMMIG1,Grilled Chicken Burrito Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,27-11-25 12:13,3970140,37,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,27-11-25 12:04,3968917,27,UMMIR7,Sweet And Sour Prawn Teriyaki Noodles ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,27-11-25 11:17,3967841,17,UMMIR13,Spicy Chicken with Pearl CousCous,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,27-11-25 07:17,3963538,60,UMMIB1,Purple Power Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine A,26-11-25 23:02,3961338,9,UMMIM10,Laban Mint Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,26-11-25 22:59,3961298,10,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,26-11-25 21:51,3961005,60,UMMIB1,Purple Power Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine A,26-11-25 19:09,3960480,60,UMMIB1,Purple Power Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine A,26-11-25 19:02,3960373,9,UMMIM10,Laban Mint Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,26-11-25 19:02,3960219,11,UMMIG1,Grilled Chicken Burrito Bowl,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,26-11-25 18:26,3959979,64,UMMIR36,Rajma Curry with White Rice,Cash,Successful,Delivery,Vegetarian,Premium
Master,Machine A,26-11-25 16:29,3958534,8,UMMIJ17,Coconut Punch Cold Pressed Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,26-11-25 16:08,3957622,37,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,26-11-25 16:07,3957599,17,UMMIR13,Spicy Chicken with Pearl CousCous,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,26-11-25 15:58,3957100,8,UMMIJ17,Coconut Punch Cold Pressed Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,26-11-25 15:05,3955156,17,UMMIR13,Spicy Chicken with Pearl CousCous,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,26-11-25 14:49,3954653,10,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,26-11-25 14:48,3954555,10,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,26-11-25 14:15,3953317,10,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,26-11-25 14:13,3953237,31,UMMIR4,Chicken Tandoori with Coriander Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,26-11-25 14:09,3952893,31,UMMIR4,Chicken Tandoori with Coriander Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,26-11-25 13:03,3947024,9,UMMIM10,Laban Mint Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,26-11-25 13:01,3946844,10,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,26-11-25 12:58,3946414,37,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,26-11-25 12:40,3944582,8,UMMIJ17,Coconut Punch Cold Pressed Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,26-11-25 12:23,3943694,37,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,26-11-25 11:21,3940054,27,UMMIR7,Sweet And Sour Prawn Teriyaki Noodles ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,26-11-25 11:08,3939250,67,UMMIC3,Strawberry Cuts ,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine A,26-11-25 11:04,3939075,50,UMMIB5,Peanut Butter Strawberry Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine A,26-11-25 09:42,3935976,50,UMMIB5,Peanut Butter Strawberry Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine A,26-11-25 09:14,3935195,27,UMMIR7,Sweet And Sour Prawn Teriyaki Noodles ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,25-11-25 19:54,3930224,10,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,25-11-25 19:49,3930154,8,UMMIJ17,Coconut Punch Cold Pressed Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,25-11-25 18:32,3929103,17,UMMIR13,Spicy Chicken with Pearl CousCous,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,25-11-25 17:16,3927931,67,UMMIC3,Strawberry Cuts ,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine A,25-11-25 14:13,3920583,10,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,25-11-25 13:55,3919278,21,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,25-11-25 13:44,3918820,37,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,25-11-25 13:39,3918081,11,UMMIG1,Grilled Chicken Burrito Bowl,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,25-11-25 12:06,3908826,11,UMMIG1,Grilled Chicken Burrito Bowl,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,25-11-25 09:26,3898939,21,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,25-11-25 09:16,3898548,27,UMMIR7,Sweet And Sour Prawn Teriyaki Noodles ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,25-11-25 09:12,3898156,10,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,24-11-25 19:48,3895783,8,UMMIJ17,Coconut Punch Cold Pressed Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,24-11-25 19:47,3895647,14,UMMIG1,Grilled Chicken Burrito Bowl,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,24-11-25 19:12,3895338,31,UMMIR4,Chicken Tandoori with Coriander Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,24-11-25 18:04,3893546,37,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,24-11-25 17:58,3893155,27,UMMIR7,Sweet And Sour Prawn Teriyaki Noodles ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,24-11-25 17:07,3891686,57,UMMIV1,Falafel Wrap,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine A,24-11-25 16:21,3890281,60,UMMIB1,Purple Power Pot,Cash,Successful,Delivery,Vegeterian,Affordable
Master,Machine A,24-11-25 16:17,3890195,8,UMMIJ17,Coconut Punch Cold Pressed Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,24-11-25 16:13,3890035,37,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,24-11-25 15:47,3888544,11,UMMIG1,Grilled Chicken Burrito Bowl,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,24-11-25 12:32,3866517,8,UMMIJ17,Coconut Punch Cold Pressed Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,24-11-25 12:00,3863567,11,UMMIG1,Grilled Chicken Burrito Bowl,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,24-11-25 11:59,3863245,10,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,24-11-25 11:13,3858968,57,UMMIV1,Falafel Wrap,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine A,24-11-25 10:29,3857756,57,UMMIV1,Falafel Wrap,Cash,Successful,Delivery,Vegetarian,Standard
