Group Name,Machine,Transaction Date,Transaction No,Slot No,Product Code,Menu,Service,Status,Delivery,Categories,Price
Master,Machine A,31-10-25 20:34,3216039,31,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,31-10-25 20:16,3215947,21,UMMIS17,Chicken Brown & Wild Rice Salad ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,31-10-25 19:42,3215444,17,UMMIF1,Banana Berry Acai Bowl  ,Cash,Successful,Delivery,Gluten-free,Affordable
Master,Machine A,31-10-25 19:40,3215387,11,UMMIV10,Fajita Chicken Wrap,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,31-10-25 19:40,3215231,61,UMMIS7,Pumpkin & Beetroot Salad with Orange Vinaigrette,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine A,31-10-25 19:38,3215199,37,UMMIR16,Chicken Tandoori with Basil Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,31-10-25 19:12,3214882,37,UMMIR16,Chicken Tandoori with Basil Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,31-10-25 18:31,3214293,1,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,31-10-25 15:06,3209243,1,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,31-10-25 14:40,3208293,31,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,31-10-25 14:24,3207465,67,UMMIV9,Tomato Mozzarella Pesto Sandwich ,Cash,Successful,Delivery,Bakery,Standard
Master,Machine A,31-10-25 14:06,3206359,67,UMMIV9,Tomato Mozzarella Pesto Sandwich ,Cash,Successful,Delivery,Bakery,Standard
Master,Machine A,31-10-25 13:13,3203840,41,UMMIR14,Herb Mushroom Chicken With Farfalle Pesto ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,31-10-25 13:09,3203127,41,UMMIR14,Herb Mushroom Chicken With Farfalle Pesto ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,31-10-25 12:39,3201963,21,UMMIS17,Chicken Brown & Wild Rice Salad ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,31-10-25 08:55,3196343,17,UMMIF1,Banana Berry Acai Bowl  ,Cash,Successful,Delivery,Gluten-free,Affordable
Master,Machine A,30-10-25 20:35,3193610,11,UMMIV10,Fajita Chicken Wrap,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,30-10-25 20:29,3193494,41,UMMIR14,Herb Mushroom Chicken With Farfalle Pesto ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,30-10-25 18:47,3192417,9,UMMIJ5,Watermelon Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 18:44,3192215,9,UMMIJ5,Watermelon Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 17:29,3190618,11,UMMIV10,Fajita Chicken Wrap,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,30-10-25 17:28,3190541,37,UMMIR16,Chicken Tandoori with Basil Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,30-10-25 16:24,3188156,8,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 16:23,3188075,8,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 16:08,3186908,17,UMMIF1,Banana Berry Acai Bowl  ,Cash,Successful,Delivery,Gluten-free,Affordable
Master,Machine A,30-10-25 16:06,3186745,8,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 16:05,3186528,21,UMMIS17,Chicken Brown & Wild Rice Salad ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,30-10-25 15:59,3185977,17,UMMIF1,Banana Berry Acai Bowl  ,Cash,Successful,Delivery,Gluten-free,Affordable
Master,Machine A,30-10-25 15:55,3184994,37,UMMIR16,Chicken Tandoori with Basil Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,30-10-25 15:27,3183725,61,UMMIS7,Pumpkin & Beetroot Salad with Orange Vinaigrette,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine A,30-10-25 15:02,3182462,20,UMMIB1,Purple Power Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine A,30-10-25 15:01,3182155,8,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 14:57,3181504,9,UMMIJ5,Watermelon Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 14:49,3181010,41,UMMIR14,Herb Mushroom Chicken With Farfalle Pesto ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,30-10-25 14:36,3180579,67,UMMIV9,Tomato Mozzarella Pesto Sandwich ,Cash,Successful,Delivery,Bakery,Standard
Master,Machine A,30-10-25 14:32,3180372,67,UMMIV9,Tomato Mozzarella Pesto Sandwich ,Cash,Successful,Delivery,Bakery,Standard
Master,Machine A,30-10-25 14:06,3178800,9,UMMIJ5,Watermelon Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 13:52,3176952,8,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 13:40,3175685,1,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,30-10-25 13:37,3175421,31,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,30-10-25 13:16,3171719,9,UMMIJ5,Watermelon Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 13:13,3171310,10,UMMIM1,Mixed Berry Smoothie,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 13:04,3170549,21,UMMIS17,Chicken Brown & Wild Rice Salad ,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,30-10-25 13:02,3170122,27,UMMIR18,Prawn Biryani,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine A,30-10-25 12:08,3164324,8,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 12:05,3163947,10,UMMIM1,Mixed Berry Smoothie,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 10:46,3159582,8,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,30-10-25 10:16,3158581,20,UMMIB1,Purple Power Pot,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine A,30-10-25 09:25,3156408,31,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,29-10-25 22:54,3153631,9,UMMIJ5,Watermelon Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine A,29-10-25 15:20,3144437,67,UMMIV9,Tomato Mozzarella Pesto Sandwich ,Cash,Successful,Delivery,Bakery,Standard
Master,Machine A,29-10-25 11:20,3126315,11,UMMIV10,Fajita Chicken Wrap,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine A,29-10-25 10:59,3124966,9,UMMIJ5,Watermelon Juice Fresh,Cash,Successful,Delivery,Beverage,Standard
Master,Machine A,29-10-25 09:11,3118300,67,UMMIV9,Tomato Mozzarella Pesto Sandwich ,Cash,Successful,Delivery,Bakery,Standard
Master,Machine A,28-10-25 23:25,3116690,61,UMMIS7,Pumpkin & Beetroot Salad with Orange Vinaigrette,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine A,28-10-25 20:02,3115690,1,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
