MACHINE_B_NOVEMBER_UPDATED,,,,,,,,,,,
Group Name,Machine,Transaction Date,Transaction No,Slot No,Product Code,Menu,Service,Status,Delivery,Category,Price
Master,Machine B,2025-11-28 13:06:11,3990009,37,UMMIR4,Chicken Tandoori with Coriander Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B,2025-11-28 13:03:21,3989850,11,UMMIG1,Grilled Chicken Burrito Bowl,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B,2025-11-28 09:25:41,3985694,27,UMMIR7,Sweet And Sour Prawn Teriyaki Noodles ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B,2025-11-27 16:45:42,3983556,37,UMMIR4,Chicken Tandoori with Coriander Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B,2025-11-27 14:42:22,3980068,34,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B,2025-11-27 14:35:15,3979909,51,UMMIS5,Mixed Beans & CousCous Salad,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B,2025-11-27 14:33:04,3979734,34,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B,2025-11-27 14:13:53,3979025,3,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B,2025-11-27 14:12:52,3978828,51,UMMIS5,Mixed Beans & CousCous Salad,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B,2025-11-27 14:09:35,3978789,3,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B,2025-11-27 13:59:22,3978495,31,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B,2025-11-27 13:35:19,3977193,31,UMMIR10,Creamy Chicken Pesto with Chunky Red Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B,2025-11-27 13:22:14,3976078,54,UMMIR36,Rajma Curry with White Rice,Cash,Successful,Delivery,Vegetarian,Premium
Master,Machine B,2025-11-27 13:19:14,3975591,17,UMMIR13,Spicy Chicken with Pearl CousCous,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B,2025-11-27 13:14:03,3974992,17,UMMIR13,Spicy Chicken with Pearl CousCous,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B,2025-11-27 13:08:48,3974666,51,UMMIS5,Mixed Beans & CousCous Salad,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B,2025-11-27 13:00:05,3973161,11,UMMIG1,Grilled Chicken Burrito Bowl,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B,2025-11-27 12:46:32,3971930,3,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B,2025-11-27 09:43:33,3965358,3,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B,2025-11-27 09:38:18,3965291,2,UMMIM10,Laban Mint Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B,2025-11-26 19:20:08,3960698,1,UMMIJ17,Coconut Punch Cold Pressed Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B,2025-11-26 19:19:05,3960558,57,UMMIR36,Rajma Curry with White Rice,Cash,Successful,Delivery,Vegetarian,Premium
Master,Machine B,2025-11-26 17:14:07,3959578,51,UMMIS5,Mixed Beans & CousCous Salad,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B,2025-11-26 16:25:21,3958245,1,UMMIJ17,Coconut Punch Cold Pressed Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B,2025-11-26 15:58:58,3957267,3,UMMIJ1,Carrot Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B,2025-11-26 13:56:28,3952426,2,UMMIM10,Laban Mint Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B,2025-11-26 13:48:20,3952073,17,UMMIR13,Spicy Chicken with Pearl CousCous,Cash,Successful,Delivery,Non vegetarian,Standard
