Group Name,Machine,Transaction Date,Transaction No,Slot No,Product Code,Menu,Service,Status,Delivery,Category,Price
Master,Machine B ,2025-10-31 07:51:50,3216354,3,UMMIM1,Mixed Berry Smoothie,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-31 05:31:24,3214755,2,UMMIJ5,Watermelon Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-31 16:14:09,3211802,2,UMMIJ5,Watermelon Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-31 15:33:35,3210031,3,UMMIM1,Mixed Berry Smoothie,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-31 01:10:43,3208401,31,UMMIR14,Herb Mushroom Chicken With Farfalle Pesto ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-31 14:47:43,3208333,1,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-31 12:22:50,3201512,37,UMMIV10,Fajita Chicken Wrap,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-31 12:04:28,3201401,27,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-31 11:11:19,3200118,1,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-31 10:21:13,3199175,17,UMMIF1,Banana Berry Acai Bowl  ,Cash,Successful,Delivery,Vegetarian,Affordable
Master,Machine B ,2025-10-31 07:57:44,3195733,67,UMMIV9,Tomato Mozzarella Pesto Sandwich ,Cash,Successful,Delivery,Bakery,Standard
Master,Machine B ,2025-10-30 21:57:37,3194345,1,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-30 04:15:50,3193175,2,UMMIJ5,Watermelon Juice Fresh,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-30 03:26:48,3186364,1,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-30 13:21:20,3172590,61,UMMIS7,Pumpkin & Beetroot Salad with Orange Vinaigrette,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-30 12:31:20,3166431,3,UMMIM1,Mixed Berry Smoothie,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-30 12:30:29,3166260,41,UMMIR16,Chicken Tandoori with Basil Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-30 12:22:24,3165449,21,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-30 12:13:09,3164774,17,UMMIF1,Banana Berry Acai Bowl  ,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-30 12:11:47,3164530,11,UMMIS17,Chicken Brown & Wild Rice Salad ,Cash,Successful,Delivery,Non vegetarian,Affordable
Master,Machine B ,2025-10-30 12:08:04,3164247,21,UMMIS3,Chicken & Yuzu Poke Bowl,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-30 11:21:14,3161198,67,UMMIV9,Tomato Mozzarella Pesto Sandwich ,Cash,Successful,Delivery,Bakery,Standard
Master,Machine B ,2025-10-29 19:26:15,3152295,44,UMMIR16,Chicken Tandoori with Basil Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-29 19:14:09,3152173,51,UMMIR18,Prawn Biryani,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-29 02:59:02,3144037,51,UMMIR18,Prawn Biryani,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-29 02:12:34,3142527,34,UMMIR14,Herb Mushroom Chicken With Farfalle Pesto ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-29 14:05:05,3140236,61,UMMIS7,Pumpkin & Beetroot Salad with Orange Vinaigrette,Cash,Successful,Delivery,Vegetarian,Standard
Master,Machine B ,2025-10-29 01:08:40,3139344,1,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-29 14:00:12,3138914,67,UMMIV9,Tomato Mozzarella Pesto Sandwich ,Cash,Successful,Delivery,Bakery,Standard
Master,Machine B ,2025-10-29 13:20:56,3134840,41,UMMIR16,Chicken Tandoori with Basil Rice,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-29 13:19:57,3134672,1,UMMIJ4,Pomegranate Juice,Cash,Successful,Delivery,Beverage,Affordable
Master,Machine B ,2025-10-29 12:09:41,3129327,27,UMMI10,Chicken Tikka Club with Brown Bread,Cash,Successful,Delivery,Non vegetarian,Standard
Master,Machine B ,2025-10-29 11:15:10,3125844,31,UMMIR14,Herb Mushroom Chicken With Farfalle Pesto ,Cash,Successful,Delivery,Non vegetarian,Premium
Master,Machine B ,2025-10-29 10:44:55,3122754,5,UMMIB1,Purple Power Pot,Cash,Successful,Delivery,Vegetarian,Affordable
